Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
76,406,[  7.         410.42438131],[0.        1.6107678],[  7.         407.23442011],[  7.         411.78510997],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 16, 14, 2, 1, 25, 24, 21]","(7.0, 407.2344201057192)"
77,412,[  7.         409.40057852],[0.        1.6948498],[  7.         406.18837154],[  7.         410.73906141],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
78,406,[  7.         408.08458164],[0.         1.47667897],[  7.         406.18837154],[  7.         410.73906141],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
79,392,[  7.         407.21970542],[0.        0.1229023],[  7.         406.18837154],[  7.         407.23442011],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
80,382,[  7.         407.20499073],[0.         0.17255986],[  7.         406.18837154],[  7.         407.23442011],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
81,392,[  7.         407.17967555],[0.         0.23219518],[  7.         406.18837154],[  7.         407.23442011],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
82,402,[  7.         407.10819421],[0.         0.33970228],[  7.         406.18837154],[  7.         407.23442011],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
83,406,[  7.         406.96320945],[0.         0.45694582],[  7.         406.18837154],[  7.         407.23442011],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
84,380,[  7.         406.69395087],[0.         0.52001815],[  7.         406.18837154],[  7.         407.23442011],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
85,392,[  7.        406.1964599],[0.         0.09006818],[  7.         406.18837154],[  7.         407.19941676],"[9, 11, 10, 23, 22, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 21]","(7.0, 406.1883715389031)"
86,402,[  7.         406.18830153],[0.         0.00156383],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
87,394,[  7.         406.18816152],[0.        0.0027032],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
88,386,[  7.         406.18781149],[0.         0.00439205],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
89,414,[  7.         406.18718143],[0.         0.00634363],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
90,380,[  7.         406.18543126],[0.        0.0097095],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
91,422,[  7.         406.18235096],[0.         0.01320958],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
92,410,[  7.         406.17570033],[0.         0.01682187],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
93,418,[  7.         406.16218903],[0.        0.0151971],[  7.         406.15336819],[  7.         406.18837154],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
94,398,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
95,394,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
96,396,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
97,402,[  7.         406.15336819],[0.00000000e+00 2.38742359e-12],[  7.         406.15336819],[  7.         406.15336819],"[9, 11, 10, 23, 21, 20, 7, 6, 4, 3, 5, 18, 19, 15, 8, 13, 17, 12, 14, 16, 2, 1, 25, 24, 22]","(7.0, 406.1533681913612)"
