Generation,evals,avg,std,min,max,best_individual,fitness_best_individual
67,414,[  7.         410.27789906],[0.         0.66650435],[  7.         408.97380823],[  7.         410.84007607],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
68,404,[  7.         409.73395807],[0.         0.64145143],[  7.         408.97380823],[  7.         410.32821776],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
69,424,[  7.         409.20456043],[0.         0.47491646],[  7.         408.97380823],[  7.         410.20164575],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 6, 4, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.9738082297536)"
70,406,[  7.         408.97259975],[0.         0.02699533],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
71,414,[  7.         408.97209968],[0.        0.0291946],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
72,392,[  7.         408.96918266],[0.         0.04918638],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
73,394,[  7.         408.96284854],[0.         0.07494345],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
74,390,[  7.         408.95138877],[0.         0.10533601],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
75,400,[  7.         408.92534388],[0.         0.15178421],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
76,404,[  7.         408.87225395],[0.         0.20712776],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
77,382,[  7.         408.76763831],[0.         0.25850597],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
78,412,[  7.         408.56965574],[0.         0.23450635],[  7.         408.36956972],[  7.         408.97380823],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
79,402,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
80,402,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
81,398,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
82,404,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
83,372,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
84,390,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
85,406,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
86,386,[  7.         408.36956972],[0.00000000e+00 2.78532752e-12],[  7.         408.36956972],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 11, 1, 2, 4, 6, 8, 9, 10, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.36956971534994)"
87,386,[  7.         408.36906964],[0.         0.01117074],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
88,398,[  7.        408.3680695],[0.         0.01930948],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
89,374,[  7.         408.36556915],[0.         0.03137323],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
90,392,[  7.         408.36006837],[0.         0.04780585],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
91,408,[  7.         408.35056702],[0.         0.06625894],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
92,416,[  7.         408.33156431],[0.         0.08976798],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
93,398,[  7.         408.29155863],[0.         0.11584392],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
94,400,[  7.         408.21204733],[0.         0.12071823],[  7.         408.11953419],[  7.         408.36956972],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
95,416,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
96,410,[  7.         408.11953419],[0.00000000e+00 3.12638804e-12],[  7.         408.11953419],[  7.         408.11953419],"[13, 15, 23, 17, 18, 19, 10, 1, 2, 4, 6, 8, 9, 11, 16, 14, 12, 20, 21, 7, 3, 5, 24, 25, 22]","(7.0, 408.1195341859591)"
